doy,VWC,depth,Plot,Trt
122,36.57,10,15,dry w/ deluge
122,36.13,15,15,dry w/ deluge
122,35.69,20,15,dry w/ deluge
122,38.72,25,15,dry w/ deluge
122,41.75,30,15,dry w/ deluge
122,41.855,35,15,dry w/ deluge
122,41.96,40,15,dry w/ deluge
122,37.77,45,15,dry w/ deluge
122,33.58,50,15,dry w/ deluge
122,27.575,55,15,dry w/ deluge
122,21.57,60,15,dry w/ deluge
122,20.465,65,15,dry w/ deluge
122,19.36,70,15,dry w/ deluge
122,21.865,75,15,dry w/ deluge
122,24.37,80,15,dry w/ deluge
122,24.74,85,15,dry w/ deluge
122,25.11,90,15,dry w/ deluge
123,36.546,10,15,dry w/ deluge
123,36.055,15,15,dry w/ deluge
123,35.564,20,15,dry w/ deluge
123,38.671,25,15,dry w/ deluge
123,41.778,30,15,dry w/ deluge
123,41.943,35,15,dry w/ deluge
123,42.108,40,15,dry w/ deluge
123,37.973,45,15,dry w/ deluge
123,33.838,50,15,dry w/ deluge
123,27.789,55,15,dry w/ deluge
123,21.74,60,15,dry w/ deluge
123,20.583,65,15,dry w/ deluge
123,19.426,70,15,dry w/ deluge
123,21.967,75,15,dry w/ deluge
123,24.508,80,15,dry w/ deluge
123,24.873,85,15,dry w/ deluge
123,25.238,90,15,dry w/ deluge
124,36.522,10,15,dry w/ deluge
124,35.98,15,15,dry w/ deluge
124,35.438,20,15,dry w/ deluge
124,38.622,25,15,dry w/ deluge
124,41.806,30,15,dry w/ deluge
124,42.031,35,15,dry w/ deluge
124,42.256,40,15,dry w/ deluge
124,38.176,45,15,dry w/ deluge
124,34.096,50,15,dry w/ deluge
124,28.003,55,15,dry w/ deluge
124,21.91,60,15,dry w/ deluge
124,20.701,65,15,dry w/ deluge
124,19.492,70,15,dry w/ deluge
124,22.069,75,15,dry w/ deluge
124,24.646,80,15,dry w/ deluge
124,25.006,85,15,dry w/ deluge
124,25.366,90,15,dry w/ deluge
125,36.498,10,15,dry w/ deluge
125,35.905,15,15,dry w/ deluge
125,35.312,20,15,dry w/ deluge
125,38.573,25,15,dry w/ deluge
125,41.834,30,15,dry w/ deluge
125,42.119,35,15,dry w/ deluge
125,42.404,40,15,dry w/ deluge
125,38.379,45,15,dry w/ deluge
125,34.354,50,15,dry w/ deluge
125,28.217,55,15,dry w/ deluge
125,22.08,60,15,dry w/ deluge
125,20.819,65,15,dry w/ deluge
125,19.558,70,15,dry w/ deluge
125,22.171,75,15,dry w/ deluge
125,24.784,80,15,dry w/ deluge
125,25.139,85,15,dry w/ deluge
125,25.494,90,15,dry w/ deluge
126,36.474,10,15,dry w/ deluge
126,35.83,15,15,dry w/ deluge
126,35.186,20,15,dry w/ deluge
126,38.524,25,15,dry w/ deluge
126,41.862,30,15,dry w/ deluge
126,42.207,35,15,dry w/ deluge
126,42.552,40,15,dry w/ deluge
126,38.582,45,15,dry w/ deluge
126,34.612,50,15,dry w/ deluge
126,28.431,55,15,dry w/ deluge
126,22.25,60,15,dry w/ deluge
126,20.937,65,15,dry w/ deluge
126,19.624,70,15,dry w/ deluge
126,22.273,75,15,dry w/ deluge
126,24.922,80,15,dry w/ deluge
126,25.272,85,15,dry w/ deluge
126,25.622,90,15,dry w/ deluge
127,36.45,10,15,dry w/ deluge
127,35.755,15,15,dry w/ deluge
127,35.06,20,15,dry w/ deluge
127,38.475,25,15,dry w/ deluge
127,41.89,30,15,dry w/ deluge
127,42.295,35,15,dry w/ deluge
127,42.7,40,15,dry w/ deluge
127,38.785,45,15,dry w/ deluge
127,34.87,50,15,dry w/ deluge
127,28.645,55,15,dry w/ deluge
127,22.42,60,15,dry w/ deluge
127,21.055,65,15,dry w/ deluge
127,19.69,70,15,dry w/ deluge
127,22.375,75,15,dry w/ deluge
127,25.06,80,15,dry w/ deluge
127,25.405,85,15,dry w/ deluge
127,25.75,90,15,dry w/ deluge
128,36.34625,10,15,dry w/ deluge
128,35.38,15,15,dry w/ deluge
128,34.41375,20,15,dry w/ deluge
128,38.16875,25,15,dry w/ deluge
128,41.92375,30,15,dry w/ deluge
128,42.31625,35,15,dry w/ deluge
128,42.70875,40,15,dry w/ deluge
128,39.115,45,15,dry w/ deluge
128,35.52125,50,15,dry w/ deluge
128,29.355,55,15,dry w/ deluge
128,23.18875,60,15,dry w/ deluge
128,21.445,65,15,dry w/ deluge
128,19.70125,70,15,dry w/ deluge
128,22.37375,75,15,dry w/ deluge
128,25.04625,80,15,dry w/ deluge
128,25.375,85,15,dry w/ deluge
128,25.70375,90,15,dry w/ deluge
129,36.2425,10,15,dry w/ deluge
129,35.005,15,15,dry w/ deluge
129,33.7675,20,15,dry w/ deluge
129,37.8625,25,15,dry w/ deluge
129,41.9575,30,15,dry w/ deluge
129,42.3375,35,15,dry w/ deluge
129,42.7175,40,15,dry w/ deluge
129,39.445,45,15,dry w/ deluge
129,36.1725,50,15,dry w/ deluge
129,30.065,55,15,dry w/ deluge
129,23.9575,60,15,dry w/ deluge
129,21.835,65,15,dry w/ deluge
129,19.7125,70,15,dry w/ deluge
129,22.3725,75,15,dry w/ deluge
129,25.0325,80,15,dry w/ deluge
129,25.345,85,15,dry w/ deluge
129,25.6575,90,15,dry w/ deluge
130,36.13875,10,15,dry w/ deluge
130,34.63,15,15,dry w/ deluge
130,33.12125,20,15,dry w/ deluge
130,37.55625,25,15,dry w/ deluge
130,41.99125,30,15,dry w/ deluge
130,42.35875,35,15,dry w/ deluge
130,42.72625,40,15,dry w/ deluge
130,39.775,45,15,dry w/ deluge
130,36.82375,50,15,dry w/ deluge
130,30.775,55,15,dry w/ deluge
130,24.72625,60,15,dry w/ deluge
130,22.225,65,15,dry w/ deluge
130,19.72375,70,15,dry w/ deluge
130,22.37125,75,15,dry w/ deluge
130,25.01875,80,15,dry w/ deluge
130,25.315,85,15,dry w/ deluge
130,25.61125,90,15,dry w/ deluge
131,36.035,10,15,dry w/ deluge
131,34.255,15,15,dry w/ deluge
131,32.475,20,15,dry w/ deluge
131,37.25,25,15,dry w/ deluge
131,42.025,30,15,dry w/ deluge
131,42.38,35,15,dry w/ deluge
