Date,Plot,Trt,TrtName,NewTrt,GCC,Drop,Outlier_Notes,Notes
5/2/21,2,3,ambient (no del),amb,0.333628,n,,
5/2/21,3,1,drought,dry w/ deluge,0.334916,n,,
5/2/21,4,2,wet,amb w/ deluge,0.335446,n,,
5/2/21,5,1,drought,dry w/ deluge,0.3375085,n,,"Cropped flag out of lower corner (small portion of image, maybe 2% missing)"
5/2/21,6,3,ambient (no del),amb,0.338314,n,,
5/2/21,9,3,ambient (no del),amb,0.3365077,n,,"Cropped flag out of lower corner (small portion of image, maybe 2% missing)"
5/2/21,10,2,wet,amb w/ deluge,0.336135,n,,
5/2/21,11,2,wet,amb w/ deluge,0.3388426,n,,
5/2/21,12,4,ambient (w/ del),amb,0.3405487,n,,
5/2/21,13,2,wet,amb w/ deluge,0.3353023,n,,
5/2/21,14,1,drought,dry w/ deluge,0.3369823,n,,
5/2/21,15,1,drought,dry w/ deluge,0.3374494,n,,
5/2/21,16,2,wet,amb w/ deluge,0.3369989,n,,
5/2/21,18,3,ambient (no del),amb,0.3366269,n,,
5/2/21,19,1,drought,dry w/ deluge,0.3359227,n,,"Cropped flag out of lower corner (small portion of image, maybe 2-3% missing)"
5/2/21,20,2,wet,amb w/ deluge,0.3389981,n,,
5/2/21,21,4,ambient (w/ del),amb,0.3389985,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
5/2/21,22,1,drought,dry w/ deluge,0.3380224,n,,"Cropped flag out of lower corner (small portion of image, maybe 2% missing)"
5/2/21,23,4,ambient (w/ del),amb,0.3404764,n,,
5/2/21,24,2,wet,amb w/ deluge,0.3395736,n,,
5/2/21,26,4,ambient (w/ del),amb,0.3391589,n,,
5/2/21,28,3,ambient (no del),amb,0.3357018,n,,
5/2/21,29,4,ambient (w/ del),amb,0.3368629,n,,
5/2/21,30,2,wet,amb w/ deluge,0.3361904,n,,
5/2/21,31,3,ambient (no del),amb,0.3364861,n,,
5/2/21,32,4,ambient (w/ del),amb,0.3383973,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
5/2/21,33,1,drought,dry w/ deluge,0.3386747,n,,
5/2/21,34,3,ambient (no del),amb,0.3379048,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
5/2/21,35,4,ambient (w/ del),amb,0.3372727,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
5/2/21,37,2,wet,amb w/ deluge,0.3378389,n,,
5/2/21,38,1,drought,dry w/ deluge,0.3351899,n,,"Cropped flag out of lower corner (small portion of image, <2% missing)"
5/2/21,39,3,ambient (no del),amb,0.3402602,n,,
