Sample_ID,Anion,Cation,TRT,Plot,Nutrient,rate
1,3,3,amb,2,NO3.N,6
2,3,3,drought w/ deluge,3,NO3.N,63
3,3,3,amb w/ deluge,4,NO3.N,19
4,3,3,drought w/ deluge,5,NO3.N,10
5,3,3,amb,6,NO3.N,15
6,3,3,amb,9,NO3.N,9
7,3,3,amb w/ deluge,10,NO3.N,57
8,3,3,amb w/ deluge,11,NO3.N,45
9,3,3,amb,12,NO3.N,12
10,3,3,amb w/ deluge,13,NO3.N,52
11,3,3,drought w/ deluge,14,NO3.N,62
12,3,3,drought w/ deluge,15,NO3.N,106
13,3,3,amb w/ deluge,16,NO3.N,36
14,3,3,amb,18,NO3.N,22
15,1,1,drought w/ deluge,19,NO3.N,108
16,3,3,amb w/ deluge,20,NO3.N,44
17,3,3,amb,21,NO3.N,38
18,3,3,drought w/ deluge,22,NO3.N,83
19,3,3,amb,23,NO3.N,15
20,3,3,amb w/ deluge,24,NO3.N,43
21,3,3,amb,26,NO3.N,22
22,3,3,amb,28,NO3.N,20
23,3,3,amb,29,NO3.N,21
24,3,3,amb w/ deluge,30,NO3.N,21
25,3,3,amb,31,NO3.N,22
26,3,3,amb,32,NO3.N,23
27,3,3,drought w/ deluge,33,NO3.N,147
28,3,3,amb,34,NO3.N,14
29,3,3,amb,35,NO3.N,16
30,3,3,amb w/ deluge,37,NO3.N,22
31,3,3,drought w/ deluge,38,NO3.N,66
32,3,3,amb,39,NO3.N,17
33,3,3,drought w/ deluge,41,NO3.N,39
34,3,3,amb,42,NO3.N,15
35,3,3,amb,43,NO3.N,43
36,3,3,amb w/ deluge,44,NO3.N,51
37,3,3,amb,45,NO3.N,51
38,3,3,amb,47,NO3.N,32
39,3,3,drought w/ deluge,49,NO3.N,46
40,3,3,amb,50,NO3.N,31
1,3,3,amb,2,NH4.N,3
2,3,3,drought w/ deluge,3,NH4.N,3
3,3,3,amb w/ deluge,4,NH4.N,3
4,3,3,drought w/ deluge,5,NH4.N,4
